rule,name,category,accuracy,severity,fixability,applicability,configuration,conflicts,total,ecosystem
AIR001,airflow-variable-name-task-id-mismatch,pedantic,2,1,0,0,2,2,8.0,2294
AIR002,airflow-dag-no-schedule-argument,suspicious,2,2,0,0,2,2,10.0,216
AIR301,airflow3-removal,suspicious,2,2,2,0,2,2,11.0,20
AIR302,airflow3-moved-to-provider,suspicious,2,2,2,0,2,2,11.0,2
AIR311,airflow3-suggested-update,pedantic,2,1,2,0,2,2,9.0,2465
AIR312,airflow3-suggested-to-move-to-provider,pedantic,2,1,2,0,2,2,9.0,8
ERA001,commented-out-code,pedantic,0,0,0,2,1,2,5.0,7792
FAST001,fast-api-redundant-response-model,pedantic,0,1,2,0,2,2,7.0,11
FAST002,fast-api-non-annotated-dependency,pedantic,2,1,2,0,2,2,9.0,511
FAST003,fast-api-unused-path-parameter,suspicious,0,2,2,0,2,2,9.0,3
YTT202,six-py3,suspicious,2,2,0,0,2,2,10.0,0
ANN001,missing-type-function-argument,pedantic,2,0,0,2,1,2,7.0,205353
ANN002,missing-type-args,pedantic,2,0,0,2,1,2,7.0,4631
ANN003,missing-type-kwargs,pedantic,2,0,0,2,1,2,7.0,10322
ANN201,missing-return-type-undocumented-public-function,pedantic,2,0,2,2,2,2,9.0,138578
ANN202,missing-return-type-private-function,pedantic,2,0,2,2,2,2,9.0,31300
ANN204,missing-return-type-special-method,pedantic,2,0,2,2,2,2,9.0,9477
ANN205,missing-return-type-static-method,pedantic,2,0,2,2,2,2,9.0,1598
ANN206,missing-return-type-class-method,pedantic,2,0,2,2,2,2,9.0,2153
ANN401,any-type,pedantic,1,0,0,2,1,2,6.0,16543
ASYNC100,cancel-scope-no-checkpoint,correctness,2,2,0,2,2,2,12.0,0
ASYNC105,trio-sync-call,correctness,2,2,2,0,2,2,11.0,0
ASYNC109,async-function-with-timeout,pedantic,2,0,0,2,2,2,8.0,24
ASYNC110,async-busy-wait,pedantic,2,1,0,2,2,2,10.0,22
ASYNC115,async-zero-sleep,style,2,1,2,0,2,2,9.0,5
ASYNC116,long-sleep-not-forever,style,2,1,2,0,2,2,9.0,0
ASYNC210,blocking-http-call-in-async-function,suspicious,2,2,0,0,2,2,10.0,5
ASYNC220,create-subprocess-in-async-function,suspicious,2,2,0,2,2,2,12.0,13
ASYNC221,run-process-in-async-function,suspicious,2,2,0,2,2,2,12.0,11
ASYNC222,wait-for-process-in-async-function,suspicious,2,2,0,2,2,2,12.0,0
ASYNC230,blocking-open-call-in-async-function,suspicious,2,2,0,0,2,2,10.0,278
ASYNC251,blocking-sleep-in-async-function,suspicious,2,2,0,2,2,2,12.0,21
S101,assert,restriction,2,0,0,2,2,2,8.0,216826
S102,exec-builtin,restriction,2,0,0,2,2,2,8.0,55
S103,bad-file-permissions,pedantic,0,0,0,2,2,2,6.0,12
S104,hardcoded-bind-all-interfaces,pedantic,0,0,0,2,2,2,6.0,69
S105,hardcoded-password-string,pedantic,0,0,0,2,2,2,6.0,1110
S106,hardcoded-password-func-arg,pedantic,0,0,0,2,2,2,6.0,1564
S107,hardcoded-password-default,pedantic,0,0,0,2,2,2,6.0,39
S108,hardcoded-temp-file,pedantic,0,1,0,2,1,2,7.0,809
S110,try-except-pass,suspicious,2,1,0,2,1,2,9.0,249
S112,try-except-continue,suspicious,2,1,0,2,1,2,9.0,28
S113,request-without-timeout,pedantic,2,1,0,0,2,2,8.0,2118
S201,flask-debug-true,pedantic,2,1,0,0,2,2,8.0,1
S202,tarfile-unsafe-members,pedantic,2,1,0,2,2,2,10.0,25
S301,suspicious-pickle-usage,pedantic,2,1,0,2,2,2,10.0,206
S302,suspicious-marshal-usage,pedantic,2,1,0,2,2,2,10.0,3
S303,suspicious-insecure-hash-usage,pedantic,2,1,0,0,2,2,8.0,0
S304,suspicious-insecure-cipher-usage,pedantic,2,1,0,0,2,2,8.0,0
S305,suspicious-insecure-cipher-mode-usage,pedantic,2,1,0,0,2,2,8.0,0
S306,suspicious-mktemp-usage,pedantic,2,1,0,2,2,2,10.0,8
S307,suspicious-eval-usage,pedantic,2,1,0,2,2,2,10.0,79
S308,suspicious-mark-safe-usage,pedantic,2,1,0,0,2,2,8.0,0
S310,suspicious-url-open-usage,pedantic,0,1,0,2,2,2,8.0,74
S311,suspicious-non-cryptographic-random-usage,pedantic,0,1,0,2,2,2,8.0,826
S312,suspicious-telnet-usage,pedantic,0,1,0,2,2,2,8.0,0
S313,suspicious-xmlc-element-tree-usage,pedantic,0,1,0,2,2,2,8.0,0
S314,suspicious-xml-element-tree-usage,pedantic,0,1,0,2,2,2,8.0,23
S315,suspicious-xml-expat-reader-usage,pedantic,0,1,0,2,2,2,8.0,0
S316,suspicious-xml-expat-builder-usage,pedantic,0,1,0,2,2,2,8.0,0
S317,suspicious-xml-sax-usage,pedantic,0,1,0,2,2,2,8.0,0
S318,suspicious-xml-mini-dom-usage,pedantic,0,1,0,2,2,2,8.0,6
S319,suspicious-xml-pull-dom-usage,pedantic,0,1,0,2,2,2,8.0,0
S321,suspicious-ftp-lib-usage,pedantic,0,1,0,2,2,2,8.0,13
S323,suspicious-unverified-context-usage,pedantic,0,1,0,2,2,2,8.0,1
S324,hashlib-insecure-hash-function,pedantic,0,1,0,2,2,2,8.0,86
S501,request-with-no-cert-validation,pedantic,0,1,0,0,2,2,6.0,0
S502,ssl-insecure-version,pedantic,0,1,0,2,2,2,8.0,0
S503,ssl-with-bad-defaults,pedantic,0,1,0,2,2,2,8.0,0
S504,ssl-with-no-version,pedantic,0,1,0,2,2,2,8.0,1
S505,weak-cryptographic-key,pedantic,0,1,0,2,2,2,8.0,0
S506,unsafe-yaml-load,pedantic,0,1,0,0,2,2,6.0,8
S507,ssh-no-host-key-verification,pedantic,0,1,0,0,2,2,6.0,1
S508,snmp-insecure-version,pedantic,0,1,0,0,2,2,6.0,0
S509,snmp-weak-cryptography,pedantic,0,1,0,0,2,2,6.0,0
S601,paramiko-call,pedantic,0,1,0,0,2,2,6.0,0
S602,subprocess-popen-with-shell-equals-true,pedantic,0,1,0,2,2,2,8.0,82
S603,subprocess-without-shell-equals-true,pedantic,0,1,0,2,2,2,8.0,1152
S604,call-with-shell-equals-true,pedantic,0,1,0,0,2,2,6.0,26
S605,start-process-with-a-shell,pedantic,0,1,0,2,2,2,8.0,25
S606,start-process-with-no-shell,pedantic,0,1,0,2,2,2,8.0,12
S607,start-process-with-partial-path,pedantic,0,1,0,2,2,2,8.0,709
S608,hardcoded-sql-expression,pedantic,0,1,0,2,2,2,8.0,572
S609,unix-command-wildcard-injection,pedantic,0,1,0,2,2,2,8.0,0
S610,django-extra,pedantic,0,1,0,0,2,2,6.0,116
S611,django-raw-sql,pedantic,0,1,0,0,2,2,6.0,0
S612,logging-config-insecure-listen,pedantic,0,1,0,2,2,2,8.0,0
S701,jinja2-autoescape-false,pedantic,0,1,0,0,2,2,6.0,22
S702,mako-templates,pedantic,0,1,0,0,2,2,6.0,0
S704,unsafe-markup-use,pedantic,0,1,0,0,1,2,5.0,58
BLE001,blind-except,suspicious,1,1,0,2,2,2,9.0,3214
FBT001,boolean-type-hint-positional-argument,pedantic,2,0,0,2,2,2,8.0,11288
FBT002,boolean-default-value-positional-argument,pedantic,2,0,0,2,2,2,8.0,9783
FBT003,boolean-positional-value-in-call,pedantic,2,0,0,2,1,2,7.0,5227
B006,mutable-argument-default,suspicious,1,2,2,2,1,2,11.0,313
B007,unused-loop-control-variable,pedantic,0,2,2,2,2,2,11.0,730
B008,function-call-in-default-argument,suspicious,1,2,0,2,1,2,10.0,955
B009,get-attr-with-constant,style,2,1,2,2,2,2,11.0,132
B010,set-attr-with-constant,style,2,1,2,2,2,2,11.0,128
B011,assert-false,suspicious,2,1,2,2,2,2,11.0,227
B013,redundant-tuple-in-exception-handler,style,2,1,2,2,2,2,11.0,1
B014,duplicate-handler-exception,correctness,2,1,2,2,2,2,11.0,0
B018,useless-expression,suspicious,1,2,0,2,2,2,11.0,823
B023,function-uses-loop-variable,suspicious,0,2,0,2,2,2,10.0,120
B024,abstract-base-class-without-abstract-method,pedantic,2,1,0,2,2,2,10.0,6
B026,star-arg-unpacking-after-keyword-arg,style,2,1,0,2,2,2,10.0,26
B027,empty-method-without-abstract-decorator,pedantic,2,1,0,2,2,2,10.0,21
B028,no-explicit-stacklevel,pedantic,2,1,2,2,2,2,11.0,668
B033,duplicate-value,correctness,2,1,2,2,2,2,11.0,9
B034,re-sub-positional-args,pedantic,2,0,0,2,2,2,8.0,9
B039,mutable-contextvar-default,suspicious,1,2,0,2,1,2,10.0,3
B904,raise-without-from-inside-except,pedantic,2,1,0,2,2,2,10.0,2348
B905,zip-without-explicit-strict,pedantic,2,0,2,2,2,2,9.0,1875
B911,batched-without-explicit-strict,pedantic,2,0,0,2,1,2,7.0,0
COM812,missing-trailing-comma,pedantic,2,0,2,2,2,1,8.0,146173
COM818,trailing-comma-on-bare-tuple,pedantic,2,0,0,2,2,2,8.0,17
COM819,prohibited-trailing-comma,pedantic,2,0,2,2,2,1,8.0,233
C400,unnecessary-generator-list,style,2,1,2,2,2,2,11.0,21
C401,unnecessary-generator-set,style,2,1,2,2,2,2,11.0,104
C402,unnecessary-generator-dict,style,2,1,2,2,2,2,11.0,46
C403,unnecessary-list-comprehension-set,style,2,1,2,2,2,2,11.0,54
C404,unnecessary-list-comprehension-dict,style,2,1,2,2,2,2,11.0,10
C405,unnecessary-literal-set,style,2,1,2,2,2,2,11.0,76
C406,unnecessary-literal-dict,style,2,1,2,2,2,2,11.0,3
C408,unnecessary-collection-call,complexity,2,1,2,2,1,2,10.0,5510
C409,unnecessary-literal-within-tuple-call,style,2,1,2,2,2,2,11.0,9
C410,unnecessary-literal-within-list-call,style,2,1,2,2,2,2,11.0,2
C411,unnecessary-list-call,style,2,1,2,2,2,2,11.0,3
C413,unnecessary-call-around-sorted,style,2,1,2,2,2,2,11.0,27
C414,unnecessary-double-cast-or-process,style,2,1,2,2,2,2,11.0,53
C415,unnecessary-subscript-reversal,complexity,2,1,0,2,2,2,10.0,1
C416,unnecessary-comprehension,complexity,1,1,2,2,2,2,10.0,324
C417,unnecessary-map,style,2,1,2,2,2,2,11.0,50
C418,unnecessary-literal-within-dict-call,style,2,1,2,2,2,2,11.0,5
C419,unnecessary-comprehension-in-call,style,2,1,2,2,2,2,11.0,232
C420,unnecessary-dict-comprehension-for-iterable,style,2,1,2,2,2,2,11.0,52
DTZ001,call-datetime-without-tzinfo,suspicious,2,1,0,2,2,2,10.0,7075
